workerid,assignmentid
0,3R08VXYT7HJAN5UVFX2DUR7ZJQU7WH
1,3JNQLM5FT9ANQALQ57EGPP9BA342L3
2,33PPUNGG3DTOZJJFZYKQYCSH14RZRX
3,3OVR4I9USU78KLGQ1Q50ZQ534NN4QQ
4,34Z02EIMIX14DDQHZTCTSSQD7I5T0C
5,338JKRMM2BNA9HX4R1SX3FZ25ANAHB
6,3KB8R4ZV1JV1SV7LD9ABDQ778S1BGE
7,3C2NJ6JBKF5DEAOBHKUV2HD0FY82N9
8,3QECW5O0KMP38KCIWZI59NM4OQGT5X
9,36TFCYNS49YM5U5X2BKBNNA06VVXH1
10,354P56DE9PRHGODMVSSCX24EDDY7S2
11,3TPWUS5F8EPGZMPR6EAOADZDK1LCWF
12,33IZTU6J86PBV3JDD5WAR1H2F6CSXH
13,3XIQGXAUMHWPC5ZLP2YZWAL6SS07XA
14,34HJIJKLPAK0PTC7NPZA5D4BLF24VK
15,3SUWZRL0M31X25UZBN3F2703HBL6EH
16,3LUY3GC634OK3WXU3BOI2XZ3QTR7PM
17,3L0KT67Y8J40V89NI1ICAFOBHC6SYN
18,3570Y55XZU7X530WN1OVL158T1DYGA
19,35K3O9HUAG1TLYNACG6JWDDGAA8EFC
20,3CFJTT4SXYESMAAQQGYYT0YR4FW7IA
21,33M4IA01QLPZUOJ0YGW51RC6T4VRXU
22,3I33IC7ZWKQ6URUM8GPQGBT0GR9A2X
23,3CFJTT4SXYESMAAQQGYYT0YR4F0I7P
24,3NPFYT4IZHS85YAMI52T2NYZRVIXG2
25,3TS1AR6UQV28CJ80P8SDQ3LZON47FJ
26,39ZSFO5CADKQFW6SL6C9FTRBP5IUJB
27,3DUZQ9U6SRCJREEIDQVS3GKHZV4SVE
28,3BXQMRHWK4MGG4CDO3P1VLJSTZDUMF
29,33JKGHPFYHI3LES4R2DFHQRYL3KNMG
30,3WJ1OXY92F4HG6WBOXYRQ2632RXA8W
31,386PBUZZXKLNW6JYCSK8O6VSCEULJD
32,3Q5C1WP23RP2Z009UGYV3H39W7Q511
33,39ASUFLU62VALKEVCAC52KDNEF3XEL
34,3ON104KXQPKD4ICCDZ46RFNPSO44WU
35,39DD6S19JUZZQFEADS0QZ5TYMF1ZEK
36,3EJPLAJKER4VD0LV7AHSNH1L5HF6Z8
37,3R8YZBNQ9M6538Y93O3722PDVPD7QD
38,30LSNF239ZJL09DKK4H3X9HJTZA2IP
39,3OSWBBLG1JL5TE0VGF1LW2V2E32XDS
40,3PB5A5BD00UEQJ4V0SYV8OLBP247GI
41,3Z4AIRP3CB1B1JKJ0MHQV0UTP6ZX12
42,3BEFOD78WBHHZ6IY9XYJIHLYUMQ4M3
43,3J4Q2Z4UT3RKTNZABWBJUIOUOGMWQ4
44,3ERMJ6L4D3GEIT0HBVWQLT58LOG7MQ
45,38F5OAUN5S0SQFZ6KYGDTOXC42H7HH
46,378XPAWRUH1A5C8OXJAI3R0H5N6IAG
47,3VP0C6EFSLKVETMCSLRYFF5CQD36MX
48,3OF2M9AATLC2CF6K9EBTX0636CXZK4
49,3C8HJ7UOPCIX236NUQO9CDY7VHSZM9
50,3R6BYFZZPC02RYER7LWBK2YNQGIXF3
51,35DR22AR5I87BMYYNQV9JT9QNQDX3U
52,304SM51WA8S4I0GC894S24QAW3TSBD
53,38SKSKU7R6LR1VZSUAZ8C5GSZZ5LI1
54,308Q0PEVBD1W0TYJ5DWI7WPXZ5OI91
55,3JZQSN0I3VYR5CJ1IBW7WGYSNQRFGY
56,3Z2R0DQ0JM29K4BYOLRCCUJR1632EG
57,3YMTUJH0DX4LC18IIUZV4VGQOUM4T4
58,34X6J5FLPYMYN3ZB4XS45SUMMKCQJ2
59,3WZ36BJEV845X0TRX99IC9MWYM3BTH
60,3CN4LGXD52CHTN7CS0MUCC853W44YT
61,3BWI6RSP7LXG6584UX878L0ZCMP7E1
62,3LJ7UR74RM1NHO3YLYDJVWAYZC54N8
63,30H4UDGLT763OZ4H7HQ7LFWTLIXMPN
64,39U1BHVTDQF0U5PEIGUCUQOKAUPT37
65,3MH9DQ75710GOUGRD0R6IGZVXD1UG7
66,3K3R2QNK8GR19KTJZULWQZD8T06U9G
67,3WAKVUDHU14XV15QKXNCC3M2YAJ7UI
68,3137ONMDKLTZZYJ5N0C1EYDSBP9EGC
69,3WMINLGALGRJS9MO59EWSO2MSIIAC2
70,3I33IC7ZWKQ6URUM8GPQGBT0GR5A2T
71,3K9FOBBF2M7JFWAJRQC0HDC9LYUNLE
72,3SLE99ER0S11JC2Q31Y0YXNDJIOZBK
73,32AT8R96GQXJEZPI80LN7UIYLOVSUP
74,3IKZ72A5B94XF40N5F92M07PO28NF9
75,3YT88D1N0DM1RMZRO7GKTZ1ORHZ3KC
76,3AMW0RGHOIQ96HPHJI57YULTQ8VNPC
77,3B4YI393VEK3ZMXEJVQNST0A0RASS9
78,3ZV9H2YQQIVSMMT8DLZNHAVJEO9W32
79,3UNH76FOCXTXXDWIY4MQY6P5PNTMYA
80,3ZAZR5XV066KTHUWH1UV9HTV13OZCR
74,3NS0A6KXC9WXATA1JNQEZ8EAZVGZG1
81,3IQ1VMJRYY8HUBFLTP45QY1EMXFA9L
82,3DBQWDE4YBM5D77YZ3WT0OGCZ8W5NA
83,3YGXWBAF7554QK67W845FLGM08M4CL
84,3YZ8UPK3VYA37I0MBEVNSPEGZLACUG
85,3WETL7AQWYWY93EOHKCERAI6UR453T
86,3U5JL4WY5PXSTIH2N40STY1W1Q9X4F
87,3U84XHCDIH1HYDHHOMODQJH79Q84ZK
88,3SEPORI8WSNW02XYXNY43M37103ZAP
89,3OWEPKL08E0K0BLHNWBQY8U8QEQ7NQ
90,3M81GAB8A57S5K1ZG5FN74B9EF4QBI
91,3B837J3LDTKRY7X146QI2JVEEPRSRL
92,3DOCMVPBTS293WD433SFU5GYQTUNNG
93,3OF2M9AATLC2CF6K9EBTX0636C2ZK9
94,304SM51WA8S4I0GC894S24QAW30BS3
95,3C2NJ6JBKF5DEAOBHKUV2HD0FY42N5
96,3Z7EFSHGNE2VOMUHGJ6ACWDKT3RCX8
97,3G0WWMR1U08U6TQWJVKWYZB3V4HNQ3
98,3TXD01ZLD950CEN7IZP59R2S78T4UV
99,3LBXNTKX0WJTQONE4ZWJA6CCNINX9B
100,3S96KQ6I9RSYCXRBB50O7ZAW17GTD7
101,3PWWM24LHXMSB317BI5CKKN5Q3528H
102,3VA45EW49SBO7A6RZVUUCN30D241OB
103,3SITXWYCN0XCEH2B2JAF1C72BIQXBL
50,3R5F3LQFV78L26RZ763M4HNCQH7ZOO
104,3MD9PLUKKN23KLRN6R39PSN7072ZN9
105,3U5JL4WY5PXSTIH2N40STY1W1QA4XN
106,3JW0YLFXRY4PDKVWN5APM76GCH2WW7
107,33JKGHPFYHI3LES4R2DFHQRYL3PNML
108,30OG32W0SZZ59Q0RA4PW4IMPC1YENN
109,3A1PQ49WVM5EFTK4VIZ4SE6Z1GSH15
41,3R9WASFE244RWTE683KWHNEYYGGZF2
110,3LJ7UR74RM1NHO3YLYDJVWAYZC04N3
111,34J10VATJKM2SSF5MF74TRFM95NQIQ
112,35L9RVQFCT6UOQB2X69O3GBWCDEUH6
113,3Z7EFSHGNE2VOMUHGJ6ACWDKT3QXCS
114,3SB4CE2TJ0J7V7XJW5AJ61NWT05XAQ
115,36H9ULYP67I1WE92QHHATTQ8FI5FJZ
116,31UV0MXWNV0DZ6W72NJ1VGKVD95I5A
117,3IAS3U3I0K4BD1ZEEUPMBMD6Y9Q2BG
118,3TYCR1GOTH7DWLO2UENUC0JIVC2ZL7
119,3WAKVUDHU14XV15QKXNCC3M2YAIU74
120,31N2WW6R9WEQB07DNWPNDM9JJLMF3Q
121,3YMTUJH0DX4LC18IIUZV4VGQOURT4Y
122,3C5W7UE9CKE8X868T80OFSIWNHZMX4
123,3IXEICO7977ZROCW1ISA1T04KLVT6H
124,3EICBYG649KUT2PSZFR9LN55I5VJCA
125,3YZ8UPK3VYA37I0MBEVNSPEGZL9UCX
126,30ZX6P7VFDJHVKXQ2M239AWJ6EZ2J1
127,3YWRV122CXN1VFA9U2FIQ3IX9UOU8R
128,378XPAWRUH1A5C8OXJAI3R0H5N2AI4
129,39JEC7537ZP3KXPMG45SOBGZDSJCV5
130,3N4BPTXIODGLQGCA3RCLG8RO4UIUKA
131,3C8HJ7UOPCIX236NUQO9CDY7VHXMZ1
132,3NPI0JQDATT71UU1GERJ7TRLFQMPTK
133,3QBD8R3Z2675Z93AMDDWALA3PM54OI
134,3B3WTRP3DGQSP8KHGABQKGIGA9N296
135,3483FV8BEJ757PIJI38E06REK8F26V
136,37QW5D2ZRLALG2I55XKIB209OX5S8B
